5.1	najdłuższy lot	259,65				
	nr lotu	10				
5.2	3					
5.3	tabela	dzień	Suma z minuty lotu stary dzień	Suma z minuty ułamek nowy dzień	całkowity czas lotu	
		01.09.2021	586,7666667	0	586,77	
		02.09.2021	650,9666667	0	650,97	
		03.09.2021	836,6833333	0	836,68	
		04.09.2021	685,85	0	685,85	
		05.09.2021	664,1666667	0	664,17	
		06.09.2021	584,5	19,43333333	603,93	
		07.09.2021	566,9666667	0	566,97	
		08.09.2021	720,45	0	720,45	
		09.09.2021	452,2666667	0	452,27	
		10.09.2021	663,95	0	663,95	
		11.09.2021	499,0833333	54,3	553,38	
		12.09.2021	407,4166667	0	407,42	
		13.09.2021	671,7166667	0	671,72	
		14.09.2021	545,05	0	545,05	
		15.09.2021	606,5333333	0	606,53	
		16.09.2021	562,55	0	562,55	
		17.09.2021	385,6333333	0	385,63	
		18.09.2021	358,8333333	0	358,83	
		19.09.2021	358,9666667	0	358,97	
		20.09.2021	545,1	72,75	617,85	
		21.09.2021	577,7833333	83,26666667	661,05	
		22.09.2021	434,8666667	0	434,87	
		23.09.2021	615,7	61,4	677,1	
		24.09.2021	550,7833333	0	550,78	
		25.09.2021	357,25	0	357,25	
		26.09.2021	460,8	0	460,8	
		27.09.2021	411,9166667	0	411,92	
		28.09.2021	417,6333333	0	417,63	
		29.09.2021	520,75	0	520,75	
		30.09.2021	281,1833333	57,06666667	338,25	
	najdłużej przebywał w powietrzu i były to: 	836,68	dnia:	03.09.2021		
	najkrucej przebywał w powietrzu i były to: 	338,25	dnia:	30.09.2021		
5.4	21.09.2021					
5.5	tabela	data	Suma z opłata za załadunek	Suma z opłata przewozowa	Suma z opłata za rozładunek	zysk
		01.09.2021	69000	257500	40500	148000
		02.09.2021	108000	390000	112500	169500
		03.09.2021	129000	461000	106500	225500
		04.09.2021	105000	386000	130500	150500
		05.09.2021	138000	506000	112500	255500
		06.09.2021	106500	395000	124500	164000
		07.09.2021	111000	407000	109500	186500
		08.09.2021	112500	417000	123000	181500
		09.09.2021	88500	333500	90000	155000
		10.09.2021	85500	324000	60000	178500
		11.09.2021	85500	315000	79500	150000
		12.09.2021	33000	132000	63000	36000
		13.09.2021	91500	337000	76500	169000
		14.09.2021	91500	346000	109500	145000
		15.09.2021	52500	198000	54000	91500
		16.09.2021	102000	375000	90000	183000
		17.09.2021	79500	290000	82500	128000
		18.09.2021	81000	303000	97500	124500
		19.09.2021	79500	294000	39000	175500
		20.09.2021	123000	453500	127500	203000
		21.09.2021	61500	234500	94500	78500
		22.09.2021	75000	281000	37500	168500
		23.09.2021	109500	403000	144000	149500
		24.09.2021	82500	302500	54000	166000
		25.09.2021	61500	233000	69000	102500
		26.09.2021	108000	400500	106500	186000
		27.09.2021	43500	161500	42000	76000
		28.09.2021	69000	257500	67500	121000
		29.09.2021	120000	444500	112500	212000
		30.09.2021	55500	206500	102000	49000
	max zysk:	255500				
	dzień tego zysku:	05.09.2021				
	całkowity zysk w tamtym okresie: 	4529000				
5.6	12					
