44	158
79	167
69	176
97	180
40	171
79	185
10	182
8	136
37	182
36	131
47	194
24	149
42	147
3	135
43	197
69	151
26	185
12	110
89	182
17	187
26	169
27	133
69	165
70	139
92	173
65	138
92	109
78	176
24	142
19	104
21	127
82	146
39	145
78	124
66	162
86	122
98	170
4	104
34	176
69	127
76	168
62	158
24	160
90	200
56	133
58	163
50	113
83	192
39	164
55	147
62	124
52	191
30	158
44	197
75	102
65	117
34	154
2	123
15	146
56	169
79	190
62	192
11	199
22	169
73	192
81	198
64	191
24	124
16	178
92	107
21	115
73	101
37	110
15	188
18	156
95	169
85	147
90	173
3	165
96	162
12	102
97	175
60	118
99	121
3	117
51	143
5	121
51	102
23	193
35	107
51	144
69	106
55	199
48	117
97	108
88	130
13	124
31	104
28	124
86	131
