92	-20	52
-39	-43	-36
25	-38	98
5	-48	38
-98	41	-41
30	70	65
-20	92	10
58	-35	94
-61	-25	12
-17	-25	-26
-4	-22	-35
-17	-71	-20
72	48	56
17	66	48
77	20	-18
94	-68	58
62	37	57
48	-55	55
44	64	-48
67	-12	-49
41	42	99
21	-73	9
0	-75	8
-58	68	-48
-66	55	11
8	-80	-64
82	50	-65
27	-98	15
32	-3	-58
-88	-25	61
-90	-97	-59
-59	90	27
9	-100	78
-3	93	81
-35	66	-82
66	48	50
-24	-31	56
-98	30	-30
47	26	15
-69	43	35
80	60	23
-68	37	-32
-17	-89	20
-1	32	-85
-2	-20	-78
87	-26	-36
20	45	97
89	-71	89
0	10	13
-21	17	60
-7	-65	-33
44	61	-39
48	64	-55
-86	33	4
-28	-20	54
-15	-60	55
84	-69	52
18	-57	-11
95	0	95
-49	6	61
-99	-39	-59
-51	26	-39
25	-94	-52
27	89	27
-21	-71	7
85	5	-45
52	-22	-47
-59	58	38
79	3	13
-81	21	25
59	-56	41
-4	-24	-99
8	83	-14
64	-47	-17
-47	89	82
39	-5	28
-9	-31	64
-45	-58	-86
81	-30	3
-55	82	42
-73	95	77
-91	-24	81
99	-89	-26
-60	-89	-11
-68	-60	67
66	82	-5
5	33	-62
64	100	-38
56	83	100
-38	-84	26
66	-18	-96
-56	90	86
16	-58	-89
92	-18	87
61	37	40
89	46	28
-97	3	-82
30	-39	-82
30	37	-29
7	-85	-86
