37	-76	-41
11	-2	-44
9	27	-85
21	38	-68
10	-2	-100
63	-29	62
33	-87	58
76	-5	-23
36	96	-77
46	100	58
-73	-72	21
51	45	-88
-38	4	-96
-13	-44	-23
-32	11	92
86	-45	-77
-51	-82	4
-14	-18	-23
37	37	-55
42	62	48
83	-90	-98
-24	70	55
81	-84	-67
-3	-97	-17
-30	-89	27
6	93	23
-38	-69	35
63	57	-96
42	-13	-53
51	-13	-12
30	32	-27
-13	65	-38
-98	12	-80
34	7	26
-27	38	32
40	-66	-1
51	13	42
-15	-87	33
31	0	-6
-32	58	7
-87	83	-58
86	91	46
-94	-88	-17
46	-70	-54
3	17	61
-85	-65	61
1	-40	36
23	97	87
-1	14	96
-84	-29	-33
-98	-19	-8
92	-37	-92
5	64	3
-11	33	39
-1	85	-4
-90	37	84
2	-54	-70
30	-79	-21
-70	51	91
-59	-12	20
-43	-60	13
17	54	-82
62	28	-12
-9	55	-95
-60	-25	-44
-54	74	-82
-86	99	29
62	-61	-46
45	34	-65
-87	78	16
-42	34	68
62	-8	-60
13	2	-34
15	56	66
-5	-5	91
59	3	38
-99	-82	-14
85	-88	0
19	-65	-56
58	78	-44
-53	-35	5
93	-40	-15
9	26	88
-12	-33	-15
20	62	92
15	-9	26
-30	-67	-54
-26	13	-36
49	-67	66
88	65	46
-70	69	81
-46	-48	15
53	-66	-3
-24	-40	24
27	65	3
59	14	-53
-45	39	72
-24	-42	-35
-59	-27	-6
-32	61	-11
