9	178
54	119
99	168
58	130
50	158
43	136
71	126
40	190
28	137
48	156
11	182
99	130
87	143
1	128
29	131
87	200
58	137
85	108
34	182
78	118
96	111
14	118
64	134
66	139
25	159
2	172
40	173
81	136
8	119
6	115
84	149
26	147
29	150
26	109
58	175
7	148
7	154
26	183
88	139
74	139
91	135
19	108
78	144
1	124
86	154
75	175
75	182
100	190
61	161
31	162
15	187
85	105
94	124
37	136
87	178
10	171
73	115
8	107
65	125
8	105
48	126
93	122
28	183
40	107
38	175
53	127
12	151
70	129
47	195
39	185
34	122
9	148
20	142
47	198
98	155
55	132
64	161
70	148
65	129
19	198
88	112
55	118
64	125
7	128
80	145
78	116
55	188
22	198
81	187
17	107
1	198
35	144
71	168
4	177
56	184
21	140
20	136
67	131
94	151
2	179
